0.0121128, 0, 0, -53
0.0180857, -961, -320, -320
0.0240475, -1392, -1659, -1070
0.0300406, -2130, -2077, -2023
0.0360038, -2676, -2355, -2194
0.0419567, -2466, -2466, -2251
0.0479617, -3029, -2923, -2657
0.0539357, -3259, -3259, -2885
0.0598584, -2586, -2694, -2694
0.0658101, -3485, -3271, -3110
0.0717627, -3431, -3485, -3217
0.0776901, -3123, -3230, -2961
0.0836762, -3625, -3785, -3359
0.0896026, -3662, -4147, -3716
0.0955954, -3834, -3781, -3621
0.10133, -3450, -3283, -3116
0.107072, -3835, -3946, -3668
0.112799, -3956, -4124, -3901
0.118509, -3353, -3186, -3186
0.124225, -4076, -3853, -3741
0.12998, -4270, -4104, -3605
0.1357, -3515, -3292, -3068
0.141426, -4125, -4125, -3790
0.147145, -4185, -3794, -3906
0.15289, -3445, -3056, -3333
0.158596, -4250, -4083, -3691
0.164343, -3721, -4109, -3887
0.170077, -3284, -3618, -3173
0.175794, -3908, -4019, -4019
0.181509, -4300, -4133, -3909
0.187222, -3295, -3407, -3128
0.192942, -4129, -4297, -3962
0.198672, -3954, -4010, -4010
0.204402, -3397, -3230, -3286
0.210151, -4164, -3997, -3942
0.215851, -4311, -4087, -3583
0.221585, -3785, -3339, -3339
0.227314, -4122, -4178, -3732
0.233069, -4049, -3993, -3661
0.238807, -3281, -3226, -3393
0.244541, -4174, -4174, -3785
0.250272, -3954, -4177, -3898
0.256006, -3061, -3506, -3228
0.261729, -4183, -4015, -4071
0.267446, -4131, -3963, -4075
0.273172, -3511, -3400, -3344
0.278914, -4058, -4169, -3946
0.284641, -4124, -4124, -4124
0.290349, -3522, -3578, -3355
0.296101, -4384, -3940, -4217
0.301847, -4332, -4166, -3943
0.307577, -3843, -3509, -3509
0.313301, -4182, -4182, -3736
0.319007, -4139, -4362, -4195
0.324768, -3324, -3380, -3490
0.330482, -4133, -4412, -4133
0.336193, -4471, -4303, -4135
0.3419, -3635, -3635, -3523
0.347611, -4359, -4415, -4415
0.353348, -4395, -4339, -4284
0.359087, -3559, -3615, -3670
0.364861, -4532, -4366, -4532
0.370593, -4399, -4399, -4343
0.376323, -3843, -3787, -3843
0.382034, -4360, -4304, -4527
0.387747, -4413, -4581, -4469
0.39346, -3854, -3686, -3575
0.399183, -4127, -4517, -4406
0.40489, -4418, -4530, -4362
0.410612, -3849, -3904, -3458
0.41632, -4529, -4529, -4529
0.422045, -4627, -4738, -4627
0.427765, -3627, -3738, -3683
0.433489, -4572, -4684, -4684
0.439112, -3973, -3859, -3916
0.444848, -4619, -4674, -4730
0.450566, -4577, -4688, -4577
0.456287, -3961, -3849, -3849
0.462002, -4859, -4635, -4579
0.467723, -4742, -4797, -4686
0.473481, -3658, -3769, -3769
0.479209, -4569, -4792, -4458
0.484916, -4585, -4809, -4362
0.49065, -3784, -3896, -3951
0.496365, -4636, -4803, -4468
0.502066, -4534, -4646, -4646
0.507815, -3941, -4052, -4108
0.513553, -4839, -4728, -4783
0.519267, -4692, -4636, -4747
0.524996, -4011, -4067, -4011
0.530737, -4725, -4614, -4669
0.536467, -4901, -4790, -4790
0.542176, -3913, -4081, -3745
0.54789, -4692, -5027, -4804
0.553598, -3802, -3914, -3970
0.559338, -4726, -4893, -4837
0.565048, -4807, -4863, -4751
0.570759, -3856, -4024, -3968
0.57648, -4798, -4910, -4798
0.582193, -4692, -4748, -4916
