8.31828, 57.4017
8.32562, 60
8.33296, 60
8.3403, 60
8.34766, 55.6382
8.355, 47.0061
8.36234, 39.8531
8.36969, 29.8297
8.37702, 19.3732
8.38433, 9.64961
8.39166, -2.6253
8.39899, -15.4599
8.40633, -27.5267
8.41365, -38.6427
8.421, -47.8805
8.42835, -54.5577
8.43569, -59.6827
8.44309, -59.5095
8.45043, -57.6035
8.4578, -50.1496
8.46514, -42.0742
8.4725, -32.16
8.47986, -21.8009
8.4872, -10.8405
8.49451, -0.243116
8.50183, 11.0034
8.50915, 22.2993
8.51648, 32.266
8.5238, 40.7618
8.53112, 48.4353
8.53844, 55.1982
8.54577, 59.8606
8.55312, 59.9607
8.56045, 54.8458
8.5678, 47.2903
8.57513, 39.1139
8.58249, 32.7365
8.58985, 22.4929
8.59718, 12.7465
8.60449, 1.2673
8.61179, -10.3563
8.61912, -21.8576
8.62647, -32.6666
8.6338, -41.8586
8.64111, -48.8064
8.64844, -54.6342
8.65576, -55.9665
8.66311, -56.0192
8.67044, -48.8729
8.67778, -40.4631
8.68511, -32.0644
8.69248, -22.8916
8.69984, -12.5012
8.70715, -2.24493
8.71449, 8.26699
8.72179, 19.1787
8.72913, 29.1334
8.73645, 37.1252
8.7438, 44.1319
8.75115, 50.1698
8.75849, 54.4419
8.76583, 55.2152
8.77318, 51.2193
8.78052, 43.2943
8.78787, 32.413
8.79522, 24.5896
8.80257, 15.6726
8.80991, 5.45361
8.81726, -4.29768
8.82459, -15.0002
8.83191, -25.5481
8.83924, -34.6017
8.84662, -41.6525
8.85394, -47.3546
8.86127, -51.3972
8.8686, -49.9614
8.87594, -47.8356
8.88331, -41.5184
8.89065, -33.9236
8.89797, -25.8578
8.90529, -16.6689
8.91262, -7.51049
8.91996, 2.1496
8.92728, 12.385
8.93459, 21.845
8.9419, 30.322
8.94925, 37.9153
8.95659, 44.4692
8.9639, 49.9284
8.97126, 53.4579
8.97862, 52.9551
8.98597, 47.9651
8.99329, 40.2132
9.00064, 31.2892
9.00796, 22.8422
9.0153, 13.0505
9.02261, 3.51976
9.02994, -5.74935
9.03726, -16.5273
9.04462, -26.5456
9.05196, -34.2692
9.0593, -40.9763
9.06666, -45.9137
9.07399, -48.4657
9.0813, -46.1388
9.08868, -42.7096
9.09603, -36.3438
9.10338, -28.7502
9.11072, -20.5229
9.11809, -11.71
9.12544, -2.84206
9.13277, 6.00548
9.14011, 15.5707
9.14746, 24.2636
9.15476, 31.5583
9.16212, 37.8931
9.16947, 43.1923
9.17684, 46.6178
9.18419, 47.0326
9.19152, 43.7348
9.19886, 37.5452
9.20623, 29.0669
9.21356, 21.3293
9.22103, 12.6572
9.22842, 3.47712
9.23575, -2.97634
9.24309, -12.7373
9.25042, -21.8209
9.25776, -29.3709
9.2651, -34.8113
9.27247, -39.3837
9.2798, -42.5131
9.28719, -41.9337
9.29454, -38.1123
9.3019, -33.9032
9.30925, -27.8958
9.31659, -20.1765
9.32394, -12.1843
9.33128, -3.3921
9.3386, 4.61611
9.34594, 12.696
9.35324, 20.1765
